Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards,Fantasy_Reception_Points,Fantasy_RecivingYD_Points,Fantasy_ReceptionTD_Points,Fantasy_Standard_Reciving_Total
nick-boyle,2019,BaltimoreRavens,16,31,321,10.4,35,2,13,41.94,4,0,31,32.1,12,44.1
nick-boyle,2020,BaltimoreRavens,9,14,113,8.1,21,2,8,57.14,1,0,14,11.3,12,23.3
miles-boykin,2019,BaltimoreRavens,16,13,198,15.2,50,3,10,76.92,2,1,13,19.8,18,37.8
miles-boykin,2020,BaltimoreRavens,16,19,266,14,43,4,14,73.68,3,1,19,26.6,24,50.6
tyler-boyd,2016,CincinnatiBengals,16,54,603,11.2,30,1,33,61.11,9,0,54,60.3,6,66.3
tyler-boyd,2017,CincinnatiBengals,10,22,225,10.2,49,2,14,63.64,1,1,22,22.5,12,34.5
tyler-boyd,2018,CincinnatiBengals,14,76,1028,13.5,49,7,54,71.05,21,1,76,102.8,42,144.8
tyler-boyd,2019,CincinnatiBengals,16,90,1046,11.6,47,5,51,56.67,12,3,90,104.6,30,134.6
tyler-boyd,2020,CincinnatiBengals,15,79,841,10.7,72,4,43,54.43,7,1,79,84.1,24,108.1
lynn-bowden,2020,MiamiDolphins,10,28,211,7.5,22,0,13,46.43,1,0,28,21.1,0,21.1
kendrick-bourne,2017,SanFrancisco49ers,11,16,257,16.1,54,0,12,75,3,1,16,25.7,0,25.7
kendrick-bourne,2018,SanFrancisco49ers,16,42,487,11.6,33,4,30,71.43,6,0,42,48.7,24,72.7
kendrick-bourne,2019,SanFrancisco49ers,16,30,358,11.9,30,5,23,76.67,4,0,30,35.8,30,65.8
kendrick-bourne,2020,SanFrancisco49ers,15,49,667,13.6,49,2,35,71.43,7,1,49,66.7,12,78.7
blake-bortles,2014,JacksonvilleJaguars,14,0,0,0,0,0,0,0,0,0,0,0,0,0
blake-bortles,2015,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
blake-bortles,2016,JacksonvilleJaguars,16,1,20,20,20,1,1,100,1,0,1,2,6,8
blake-bortles,2017,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
blake-bortles,2018,JacksonvilleJaguars,13,0,0,0,0,0,0,0,0,0,0,0,0,0
blake-bortles,2019,LosAngelesRams,3,0,0,0,0,0,0,0,0,0,0,0,0,0
blake-bortles,2020,LosAngelesRams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mike-boone,2018,MinnesotaVikings,8,2,1,0.5,1,0,0,0,0,0,2,0.1,0,0.1
mike-boone,2019,MinnesotaVikings,16,3,17,5.7,7,0,0,0,0,0,3,1.7,0,1.7
mike-boone,2020,MinnesotaVikings,16,2,10,5,6,0,0,0,0,0,2,1,0,1
devontae-booker,2016,DenverBroncos,16,31,265,8.6,43,1,8,25.81,3,1,31,26.5,6,32.5
devontae-booker,2017,DenverBroncos,13,30,275,9.2,29,0,13,43.33,4,0,30,27.5,0,27.5
devontae-booker,2018,DenverBroncos,16,38,275,7.2,30,0,9,23.68,2,0,38,27.5,0,27.5
devontae-booker,2019,DenverBroncos,16,6,57,9.5,25,0,1,16.67,1,0,6,5.7,0,5.7
devontae-booker,2020,LasVegasRaiders,16,17,84,4.9,17,0,2,11.76,0,0,17,8.4,0,8.4
reggie-bonnafon,2018,CarolinaPanthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reggie-bonnafon,2019,CarolinaPanthers,16,6,57,9.5,32,0,1,16.67,1,0,6,5.7,0,5.7
reggie-bonnafon,2020,CarolinaPanthers,2,2,18,9,15,1,2,100,0,0,2,1.8,6,7.8
victor-bolden,2017,SanFrancisco49ers,9,0,0,0,0,0,0,0,0,0,0,0,0,0
victor-bolden,2018,BuffaloBills,6,1,10,10,10,0,1,100,0,0,1,1,0,1
victor-bolden,2019,DetroitLions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victor-bolden,2020,DetroitLions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon-bolden,2012,NewEnglandPatriots,10,2,11,5.5,11,0,1,50,0,0,2,1.1,0,1.1
brandon-bolden,2013,NewEnglandPatriots,12,21,152,7.2,18,0,6,28.57,0,0,21,15.2,0,15.2
brandon-bolden,2014,NewEnglandPatriots,16,2,8,4,4,0,0,0,0,0,2,0.8,0,0.8
brandon-bolden,2015,NewEnglandPatriots,15,19,180,9.5,63,2,8,42.11,1,1,19,18,12,30
brandon-bolden,2016,NewEnglandPatriots,14,2,15,7.5,13,0,1,50,0,0,2,1.5,0,1.5
brandon-bolden,2017,NewEnglandPatriots,16,1,7,7,7,0,1,100,0,0,1,0.7,0,0.7
brandon-bolden,2018,MiamiDolphins,16,3,13,4.3,9,1,1,33.33,0,0,3,1.3,6,7.3
brandon-bolden,2019,NewEnglandPatriots,15,9,111,12.3,29,1,6,66.67,2,0,9,11.1,6,17.1
brandon-bolden,2020,NewEnglandPatriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tommy-bohanon,2013,NewYorkJets,16,11,69,6.3,21,0,4,36.36,1,0,11,6.9,0,6.9
tommy-bohanon,2014,NewYorkJets,4,2,30,15,16,0,2,100,0,0,2,3,0,3
tommy-bohanon,2015,NewYorkJets,16,4,56,14,23,0,3,75,1,0,4,5.6,0,5.6
tommy-bohanon,2017,JacksonvilleJaguars,16,6,43,7.2,14,1,3,50,0,0,6,4.3,6,10.3
tommy-bohanon,2018,JacksonvilleJaguars,16,6,41,6.8,12,0,1,16.67,0,0,6,4.1,0,4.1
tommy-bohanon,2020,BaltimoreRavens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
