Player_Id,Year,Fumbles,Rushing_Yards,Receiving_Yards,Rushing_TD,Receptions,Recieving_TD,Fantasy_Reception_Points,Fantasy_Rushing_Points,Fantasy_Standard_Reciving_Points,Total_Standard,Total_PPR
travis-kelce,2020,0,7,1416,0,105,11,105,0.7,207.6,208.29999999999998,313.3
adam-thielen,2018,0,89,1373,0,113,9,113,8.9,191.3,200.20000000000002,313.20000000000005
ezekiel-elliott,2017,5,1631,269,15,26,2,26,253.1,38.9,287,313
tyreek-hill,2018,0,59,1479,0,87,12,87,5.9,219.9,225.8,312.8
austin-ekeler,2019,0,554,993,3,92,8,92,73.4,147.3,220.70000000000002,312.70000000000005
ezekiel-elliott,2019,3,1357,420,12,54,2,54,207.7,54,258.7,312.7
alvin-kamara,2019,0,883,533,14,81,1,81,172.3,59.3,231.60000000000002,312.6
larry-fitzgerald,2008,0,14,1431,0,96,12,96,1.4,215.1,216.5,312.5
antonio-brown,2017,0,41,1533,0,101,9,101,4.1,207.3,211.4,312.4
adrian-peterson,2008,3,2097,125,12,21,0,21,281.7,12.5,291.2,312.2
antonio-brown,2013,0,41,1499,0,110,8,110,4.1,197.9,202,312
austin-ekeler,2019,1,557,993,3,92,8,92,73.7,147.3,220,312
deandre-hopkins,2017,0,1,1378,0,96,13,96,0.1,215.8,215.9,311.9
larry-fitzgerald,2008,0,8,1431,0,96,12,96,0.8,215.1,215.9,311.9
david-johnson,2019,5,1239,370,16,36,4,36,219.9,61,275.9,311.9
larry-fitzgerald,2008,0,5,1431,0,96,12,96,0.5,215.1,215.6,311.6
lesean-mccoy,2011,1,1607,315,9,48,3,48,214.7,49.5,263.2,311.2
antonio-brown,2017,0,28,1533,0,101,9,101,2.8,207.3,210.10000000000002,311.1
lesean-mccoy,2012,3,1267,373,13,54,3,54,204.7,55.3,257,311
a-j-green,2013,1,53,1426,0,98,11,98,5.3,208.6,212.9,310.9
adam-thielen,2018,0,6,1373,1,113,9,113,6.6,191.3,197.9,310.9
odell-beckham,2016,0,72,1367,1,101,10,101,13.2,196.7,209.89999999999998,310.9
antonio-brown,2017,0,24,1533,0,101,9,101,2.4,207.3,209.70000000000002,310.70000000000005
antonio-brown,2013,0,28,1499,0,110,8,110,2.8,197.9,200.70000000000002,310.7
antonio-brown,2016,0,41,1284,0,106,12,106,4.1,200.4,204.5,310.5
tyreek-hill,2020,0,59,1276,0,87,15,87,5.9,217.6,223.5,310.5
a-j-green,2013,0,38,1426,0,98,11,98,3.8,208.6,212.4,310.4
antonio-brown,2013,0,24,1499,0,110,8,110,2.4,197.9,200.3,310.3
adrian-peterson,2019,3,2097,142,12,17,0,17,281.7,14.2,292.9,309.9
antonio-brown,2017,0,13,1533,0,101,9,101,1.3,207.3,208.60000000000002,309.6
antonio-brown,2017,0,9,1533,0,101,9,101,0.9,207.3,208.20000000000002,309.20000000000005
tyreek-hill,2018,0,23,1479,0,87,12,87,2.3,219.9,222.20000000000002,309.2
antonio-brown,2016,0,28,1284,0,106,12,106,2.8,200.4,203.20000000000002,309.2
